Actual_Value,Predicted_Value
47700.0,55022.32875966821
45800.0,147071.88473627987
500001.0,528788.5143847398
218600.0,252884.90716278725
278000.0,243790.5985464029
158700.0,201730.93211117052
198200.0,231576.96233481242
157500.0,166095.91993526914
340000.0,260827.40294461316
446600.0,496140.49808675516
123200.0,135115.45462946416
253900.0,233606.767456102
215100.0,238607.88562078777
220500.0,238908.4116773937
219800.0,269892.37113167776
136200.0,235019.80976939134
178400.0,219885.61741588693
187500.0,162582.3388139979
139800.0,132507.76277375163
137500.0,86749.87097175443
425000.0,448700.72142244305
405600.0,415257.8108724534
138800.0,144352.96382797134
500001.0,453887.32828464045
162100.0,184832.6841275655
51400.0,55839.52024081042
151300.0,280775.4023152392
94800.0,78823.8226224468
204100.0,156515.36185450057
361500.0,414057.4795031991
85100.0,134849.38697267676
138400.0,140324.65532959416
137500.0,219441.26720860283
465000.0,392735.72727757576
271800.0,263237.08485836536
239400.0,260337.7570761084
340900.0,379472.54498403624
150400.0,160267.12528593195
128100.0,118661.11709839503
156000.0,150918.56293058812
258100.0,333491.5431675138
90500.0,101590.54198232395
71300.0,98906.55310427654
219700.0,242080.7940746747
151000.0,297722.80534738
290100.0,244329.24792826574
142000.0,134265.12632950678
291500.0,175485.86326188451
255400.0,264021.7742518757
98100.0,109550.32750972739
251900.0,230312.41111308272
162100.0,242353.75915692415
129400.0,164067.63634956043
89400.0,68123.59191172445
150500.0,143758.20816441686
133800.0,134748.29752626363
80400.0,98948.26437576645
211100.0,230516.77613800226
255600.0,211686.12003703104
214500.0,208596.01420056802
500001.0,413100.83258025185
202100.0,277675.30773148465
81500.0,124031.94406314078
98800.0,87401.1834576288
281900.0,325898.08732459217
184600.0,191742.86859936223
254700.0,157381.47261333396
143100.0,257026.2635331741
162500.0,189533.44428681515
142600.0,179367.93200682045
85900.0,244017.2369020528
186900.0,267079.85680666286
71300.0,85396.35201455258
174400.0,223093.65259781684
225000.0,190166.07353593005
146500.0,213858.57795164795
405000.0,453249.109322964
189600.0,229428.2819485522
164400.0,201222.8825238549
337500.0,344602.49836374354
72500.0,75857.90077799658
143800.0,198133.43278576896
160000.0,174505.4406870049
118100.0,150036.99379821715
374000.0,406327.53040369437
202700.0,270276.9467789057
96600.0,148360.17107342774
65800.0,83050.65307987563
167400.0,204035.30204907022
179800.0,201277.4822743601
96700.0,113032.60458866399
266100.0,300266.8677600991
91100.0,111961.56639780887
49800.0,48434.895451018005
90700.0,94119.91574195842
115800.0,115231.2512101832
278600.0,388023.94191985345
250000.0,160462.79944952115
85000.0,180663.64123732146
177000.0,177314.13046613664
99700.0,148025.50983464325
357600.0,449335.5124184964
475000.0,336975.30934495514
273600.0,311735.78392825334
182400.0,196057.92172566816
157800.0,161949.7476711579
193800.0,223760.62619189933
333600.0,388373.73218548484
264600.0,321862.3397821677
58400.0,82598.72531528249
173400.0,262046.85235307078
214800.0,262971.6876811208
200000.0,224826.33238811608
422800.0,416735.6336057986
93600.0,131589.66036977942
122200.0,215849.8282606552
167600.0,199033.1449426146
303600.0,311605.6013319574
269300.0,247819.90057309493
264400.0,277290.8207352712
191000.0,232557.1942476517
153800.0,181443.14740263918
275500.0,308605.9520374008
208800.0,203300.29356400823
142300.0,162799.37233230929
63500.0,54370.44381744595
95800.0,132660.4926806386
231700.0,302838.29661839595
221500.0,322451.25945858844
89500.0,229837.0335377608
226000.0,275695.81663213053
500001.0,493537.39060798765
270200.0,301647.19455656386
59600.0,78384.86670514027
193300.0,260812.2307472125
133600.0,260987.21806802883
161900.0,195487.60006777328
357500.0,300420.671866389
276500.0,243396.06292628546
410700.0,331077.51417167217
375000.0,360657.73828003113
135200.0,202197.66557200998
167200.0,153082.32793637185
252000.0,256652.0365306571
308400.0,415287.504924809
172100.0,245912.24138135675
500001.0,473785.7239569335
193800.0,236768.65484808394
105200.0,102415.60074828837
90800.0,84017.73625375226
168800.0,191684.23808281234
162100.0,120652.83731079914
161200.0,164901.39209156012
137500.0,141683.56382229304
289300.0,325352.7114730916
278700.0,299069.03653443116
161700.0,232373.5712598651
231000.0,251309.69666258924
87500.0,94343.13731547081
95700.0,101784.39345021729
240600.0,220687.5533691217
214100.0,304819.57832873764
428600.0,429006.867032744
125000.0,218785.46937461
76400.0,52390.29042967045
263800.0,273872.39907677425
120400.0,185645.99105573274
109100.0,91252.28567151338
170600.0,293868.8945157026
257400.0,267893.423512683
320000.0,371311.1313871555
289600.0,299748.1724952266
307300.0,290705.7380127406
325500.0,337980.5143397334
58400.0,118475.23136162052
48500.0,51536.70044041656
216700.0,145792.9535153083
97900.0,309935.28780359635
158600.0,221124.6626009434
69000.0,249813.41829697255
322300.0,338772.3348226717
467700.0,347861.6708534487
163000.0,160139.73579872405
287100.0,272569.07122648973
54600.0,64619.804402898735
90400.0,136153.74126329794
155500.0,170575.54944215747
175000.0,351455.22520512785
411200.0,456748.71257786616
332100.0,319215.3839277306
141200.0,171505.51807142774
247100.0,252299.6686832954
153000.0,137346.76659871245
155000.0,181927.0708413528
390800.0,247499.5849718573
90000.0,70040.8107740314
196700.0,198801.56895682894
68200.0,97202.81924866494
500001.0,507443.1663338577
92100.0,130445.69878067463
297900.0,361349.18283752794
500001.0,502701.26944988966
332300.0,319904.12117012474
171100.0,214799.5123969981
152100.0,166128.31101441928
232000.0,227201.78116991723
127100.0,116873.2742991031
87500.0,120076.51002950486
203400.0,188091.0278604897
228600.0,206924.94667216705
116700.0,93856.80424719717
416700.0,493970.6795973189
227600.0,211100.01826378118
267900.0,323267.9043464118
97200.0,125768.88760097406
137500.0,166303.0795730764
198800.0,183262.07372033127
68600.0,57114.09509532728
352500.0,312354.65319002327
103800.0,107197.51792624607
107800.0,115865.35534262017
131700.0,165998.95726286274
271300.0,327691.1418659347
97300.0,137402.57410951852
95000.0,107775.84990108282
67500.0,137005.77823231564
326100.0,306841.9988199851
65600.0,80458.98100779213
225600.0,225564.34138774168
263800.0,331901.7204559698
348300.0,306318.879418229
325000.0,272202.2532251491
108800.0,120756.49519731881
400000.0,359362.22152289865
138400.0,131831.74519144648
61000.0,71991.76253869178
453100.0,469283.2467101165
500001.0,510749.01512517396
120200.0,129534.30771027683
329200.0,309687.59624770656
196300.0,217152.6558266031
150000.0,115627.52542108376
152000.0,182366.62965655478
169900.0,162251.80283797014
137500.0,161161.80728494827
283000.0,256998.93218652523
404500.0,291541.9628862308
193500.0,252786.11097040484
205100.0,312189.5588919078
145600.0,152138.76348907503
225000.0,104479.7177898756
215900.0,225489.80725733822
158500.0,155299.31747927974
124700.0,130258.06732262555
65400.0,64455.99409792625
280200.0,239655.2191569766
180500.0,175038.22476718252
105400.0,106926.59467480714
100000.0,113613.55208106444
166300.0,149903.05314578797
158000.0,189175.27071166315
243800.0,271549.5906807048
362900.0,375247.52243657946
201900.0,167742.3352917965
52600.0,93699.93625713338
500001.0,431701.1555562867
112000.0,108137.56002017936
225000.0,265775.5331007822
439900.0,421066.4933941475
88300.0,118956.51234479222
500001.0,511815.9315737034
276800.0,201399.3282969572
179200.0,172740.10260642532
199700.0,181026.6881903167
132000.0,145374.26240258347
61300.0,93387.31776904987
171900.0,212840.06684828197
123800.0,132965.28390508058
135300.0,106989.48202017392
137100.0,195537.04418914285
129300.0,158009.44631746507
227900.0,265791.54298558144
94400.0,110934.69488283468
103500.0,103964.77826833782
320800.0,379273.94964859704
125000.0,440674.9119343156
332400.0,335489.54175593366
159100.0,156087.56446892186
236900.0,222792.58673075135
461600.0,486635.42915910354
156900.0,175611.72018414692
148200.0,103131.59729248479
166500.0,152397.82267459956
196900.0,212860.36820110623
167800.0,180792.19466610358
126700.0,80046.80326343678
500001.0,415941.35525122215
57900.0,46308.5270530151
238000.0,223064.57860126233
142000.0,176312.87481719386
86900.0,93449.43718876304
56000.0,59419.36551766256
500001.0,499060.62063698587
112400.0,121316.71407153139
63600.0,100277.76149610135
431300.0,479341.56181063456
265900.0,240231.23880765514
58000.0,54247.51354890756
194100.0,249365.0677592934
142800.0,169550.23080687577
178700.0,165932.63476896874
187500.0,238857.13126160417
225000.0,196078.1784119522
313000.0,295718.8141074736
500001.0,506473.2159303259
153600.0,149819.08680915632
62300.0,83215.92230753068
194500.0,169189.49365650947
163900.0,147348.3800055505
398800.0,324504.42747129477
204100.0,238490.45602020485
199300.0,226605.02949041378
176700.0,220342.6205838725
500001.0,464108.7240164224
248900.0,203003.97105125387
150000.0,154961.88312395464
231700.0,199983.31290754912
58000.0,95982.77024155593
126000.0,126887.66833018346
163300.0,164427.05966190758
113400.0,121670.44131215606
300000.0,178366.01484305036
310900.0,320759.9571789232
218800.0,198459.34398492283
70400.0,74555.66204704491
237700.0,270412.684323394
118800.0,126901.07487687073
73100.0,58105.79383668258
75000.0,82217.14733018735
450700.0,424786.49985261774
240200.0,225346.74177718157
65800.0,62210.97236401773
64700.0,81342.33168133917
175100.0,192927.06340542083
223700.0,228798.48761153314
96300.0,112509.98931548712
405100.0,392980.9494590679
376800.0,339989.2226721847
500001.0,542234.320003326
350000.0,241815.00494059367
162500.0,263960.7960885721
177300.0,194008.5087366267
98400.0,105261.13437212346
138800.0,116901.89546743082
175000.0,260514.4146347453
260900.0,199372.7181213185
104700.0,79676.67052638193
159500.0,199617.37991986735
295900.0,327614.3876024737
137500.0,243980.3552239261
500001.0,423418.0480274458
227000.0,231516.87771092585
263900.0,241259.0403993084
160400.0,144130.59011013497
142000.0,163389.8714450839
162500.0,160303.53973381087
230400.0,212435.2895990393
500001.0,483684.57397196745
217700.0,283386.9402398472
183000.0,197806.49092215046
245800.0,185582.76017505073
129200.0,125587.75017020668
60400.0,65366.16130271861
67500.0,68129.76885971139
295200.0,311152.7652226336
192600.0,206733.91977847027
150600.0,151320.81952238578
125700.0,143626.37954097358
63400.0,83119.91404544581
151300.0,158371.03293038034
245600.0,321084.0233838279
500001.0,495982.2801839623
165500.0,176313.57832398417
113500.0,115261.75366630797
322200.0,321592.2519803272
362500.0,438180.0172769214
69600.0,80017.83295302864
156100.0,146972.07977263437
87500.0,123702.83463056193
193100.0,196620.64554370032
218000.0,210961.2797426342
101800.0,86443.04852504062
129100.0,113353.07384596078
156300.0,113639.44809356486
183200.0,172875.2428815127
148100.0,147726.96935873665
500001.0,500152.85859651223
222100.0,339812.9445012219
167600.0,179179.71849710532
184500.0,201324.89066293076
370000.0,408516.18784778216
239400.0,243014.01739530344
166700.0,159957.2786025315
233300.0,203848.3536632786
240000.0,258628.2174429786
91300.0,107380.5857221958
483500.0,477668.59403302264
150500.0,156600.50732586978
99500.0,113803.0583743567
240200.0,219169.03501613837
95500.0,112499.85006499983
500001.0,501650.7686807262
251600.0,218027.79511665073
120800.0,118070.18259390788
135700.0,131587.88883403395
225400.0,219053.33549063656
500001.0,426195.8804229705
85100.0,97731.22614965698
500001.0,413272.80125336116
164800.0,149494.80084708342
111600.0,130059.18306709715
161000.0,146952.64154670076
213700.0,191230.1536323096
116500.0,117031.41759718278
350000.0,291676.8721174379
159900.0,203816.96366657622
438300.0,307317.2051937316
171100.0,190508.77522797408
271100.0,312190.57889831706
500001.0,302654.7182250051
68000.0,89230.67652092397
191700.0,212853.2908178783
255900.0,265477.4628533501
112500.0,153567.58922800163
182200.0,163296.87080383027
347600.0,301345.7619393531
332000.0,293771.0368790402
110900.0,128632.39109179555
211900.0,215022.92270959835
262500.0,235409.84509203254
237900.0,255978.2970651343
90000.0,121082.20139659314
427200.0,379958.5409701762
370500.0,370890.08386996656
116300.0,113629.53281752177
170800.0,172533.65204336817
285500.0,297497.4926950035
111500.0,128878.03838573783
83200.0,106638.42937271344
248200.0,235158.26144693195
395500.0,371522.16986416513
218300.0,231031.8854878189
500001.0,490762.27320195595
88900.0,92368.5725447317
181000.0,164611.36734864852
280900.0,355112.3390224562
345300.0,306448.21405364876
181000.0,206412.2483195342
192200.0,218089.78358740322
78100.0,68969.89454090843
75000.0,207003.71429407617
433300.0,441900.0666337365
160100.0,150438.9602543823
109200.0,176730.8076358159
96200.0,120339.13096528902
191400.0,157440.1058674846
